Optimum Control ID,OC Description,SalesGroup,Combined Label,Red,Yellow,Green,GHG Emission (g),N lost (g),Land Use (m^2),Freshwater Withdrawals (L),Stress-Weighted Water Use (L),GHG Emission (g) / 100g,N lost (g) / 100g,Freshwater Withdrawals (L) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g
R-71909,SL|BlueBalsamic|Chkn Thigh|AAD,GV SIMPLY LOCAL,Red,True,False,False,1739.857890794356,35.230805919175125,3.934805302633874,137.38,1432.31,424.98,8.61,33.56,349.86,0.96
R-72764,SL|Brazilian Chick Thigh|AAD,GV SIMPLY LOCAL,Red,True,False,False,810.4379158239913,20.84121571735409,2.13681008610097,66.11,62.13,551.32,14.18,44.97,42.27,1.45
R-55304,SL|chicken adobo thigh|AAD,GV SIMPLY LOCAL,Yellow,False,True,False,963.4119465404242,20.738585456885698,1.8020126346079488,75.34,766.84,247.41,5.33,19.35,196.93,0.46
R-57253,SL|Chicken cacciatore|AAD|140g,GV SIMPLY LOCAL,Red,True,False,False,523.3024383162772,12.859056905925838,1.235963299375456,46.11,464.7,373.79,9.19,32.94,331.93,0.88
R-71993,SL|chicken chop suey|AAD|140g,GV SIMPLY LOCAL,Yellow,False,True,False,1170.0435855011117,26.225793948948635,2.373812108850188,93.28,787.21,308.39,6.91,24.59,207.49,0.63
R-70985,SL|chicken manchurian|AAD,GV SIMPLY LOCAL,Green,False,False,True,764.0988633349203,14.611509172359076,1.1690615670305389,57.76,838.86,194.72,3.72,14.72,213.78,0.3
R-72340,SL|chicken red thai|AAD|140g,GV SIMPLY LOCAL,Yellow,False,True,False,993.4478589360928,21.23127555782852,1.9001771839490031,78.32,802.28,242.66,5.19,19.13,195.96,0.46
R-72776,SL|Chicken Thigh BBQ|AAD,GV SIMPLY LOCAL,Green,False,False,True,457.89330250860087,3.073145321577965,0.2706555878785714,19.99,717.2,120.69,0.81,5.27,189.04,0.07
R-72771,SL|chicken thigh huli-huli|AAD,GV SIMPLY LOCAL,Yellow,False,True,False,989.8294088111012,21.62900876236368,1.845063,78.99,770.62,260.89,5.7,20.82,203.12,0.49
R-72698,SL|Chicken Tinola|AAD,GV SIMPLY LOCAL,Red,True,False,False,621.2944119824465,16.054378341619262,1.642513062899019,50.92,94.22,477.92,12.35,39.17,72.48,1.26
R-57250,SL|chimichuri thigh|160g|AAD,GV SIMPLY LOCAL,Yellow,False,True,False,1365.0992044616862,25.968118919426253,3.354085956019339,94.08,849.67,303.76,5.78,20.93,189.07,0.75
R-62227,SL|Chix breast tom/basil|AAD,GV SIMPLY LOCAL,Red,True,False,False,992.251487734694,24.55681243367347,2.3520043102040815,85.71,738.23,493.66,12.22,42.64,367.28,1.17
R-72717,SL|Chix Thigh Inasal|AAD,GV SIMPLY LOCAL,Red,True,False,False,1313.725059774429,32.34447729428658,3.627712071424683,103.11,132.71,706.3,17.39,55.44,71.35,1.95
R-47110,SL|Chix Thigh Lemongrass|AAD,GV SIMPLY LOCAL,Red,True,False,False,1570.8841110855296,35.24726730665025,3.550162071424683,123.06,854.04,376.35,8.44,29.48,204.61,0.85
R-72714,SL|chkn thigh gulai ayam|AAD,GV SIMPLY LOCAL,Red,True,False,False,1336.6127275039696,32.447863218315455,3.470700532839214,102.51,107.21,607.55,14.75,46.6,48.73,1.58
R-72712,SL|chkn thigh TAM|160g|AAD,GV SIMPLY LOCAL,Red,True,False,False,1285.1865025039697,32.454763218315456,3.467278032839214,102.41,104.5,642.59,16.23,51.2,52.25,1.73
R-72334,SL|chkn thighCajun|100g|AAD,GV SIMPLY LOCAL,Yellow,False,True,False,1126.9829828706315,23.320103378767435,2.341983415578438,83.88,785.34,305.08,6.31,22.71,212.6,0.63
R-71908,SL|Coconut braisePork|AAD|100g,GV SIMPLY LOCAL,Yellow,False,True,False,1299.139528811101,9.63495876236368,1.120724999999995,111.37,3453.76,382.78,2.84,32.81,1017.61,0.33
R-71916,SL|Cod gremolata|85g|AAD,GV SIMPLY LOCAL,Red,True,False,False,1068.3431234151387,14.396414225134295,1.6527600351094671,321.62,1770.13,454.61,6.13,136.86,753.25,0.7
R-72767,SL|CozidoDeFrango ChickStew|SL,GV SIMPLY LOCAL,Yellow,False,True,False,797.1471040152385,15.483043024483864,1.3666877830848214,62.68,956.69,207.92,4.04,16.35,249.53,0.36
R-57256,SL|Ctrs thym chkn breast|AAD,GV SIMPLY LOCAL,Red,True,False,False,985.2529463104764,22.047992948894557,2.672952887753401,74.73,461.51,492.63,11.02,37.36,230.76,1.34
R-71911,SL|Curry chicken wings|Plate,GV SIMPLY LOCAL,Red,True,False,False,778.2201987535368,19.38277670883489,2.099600593916053,62.47,121.09,457.78,11.4,36.75,71.23,1.24
R-62159,SL|Ginger pork loin|125g|AAD,GV SIMPLY LOCAL,Red,True,False,False,1666.193523692841,22.22138453711386,3.604768802866473,301.97,9046.46,1281.69,17.09,232.28,6958.82,2.77
R-64773,SL|Halibut|Feature plate|AAD,GV SIMPLY LOCAL,Red,True,False,False,647.9517521181485,9.036224645615214,0.9032260667589912,201.18,1112.01,516.3,7.2,160.3,886.06,0.72
R-72711,SL|Herb RST Chicken Thigh|AAD,GV SIMPLY LOCAL,Yellow,False,True,False,1415.2540609856585,29.206295651880215,3.154882028766214,110.37,1187.07,308.74,6.37,24.08,258.96,0.69
R-71906,SL|Herb'd Cod|Plate|AAD,GV SIMPLY LOCAL,Yellow,False,True,False,953.5417541019294,9.434357085277895,1.460300081105269,158.51,1613.8,265.31,2.63,44.1,449.03,0.41
R-62215,SL|Herb'd Pork Loin|Plate|AAD,GV SIMPLY LOCAL,Red,True,False,False,2782.3691645079552,32.61019879076928,5.8265055271200605,420.38,12783.37,671.42,7.87,101.44,3084.79,1.41
R-44903,SL|Herbed chicken breast|AAD,GV SIMPLY LOCAL,Red,True,False,False,809.9202102564104,21.46559487179487,2.1180389743589747,68.43,80.59,529.36,14.03,44.73,52.67,1.38
R-72724,SL|Inihaw Na BaboyPorkChop|AAD,GV SIMPLY LOCAL,Red,True,False,False,2438.8156701090784,31.667329594064412,4.674241715890371,409.06,12392.11,488.35,6.34,81.91,2481.4,0.94
R-72816,SL|Jerk Chicken or Pork|AAD,GV SIMPLY LOCAL,Red,True,False,False,2382.47729369999,35.4099859845859,4.679306666666653,304.65,7819.99,644.96,9.59,82.47,2116.94,1.27
R-51176,SL|Lamb Roast Plate|AAD,GV SIMPLY LOCAL,Red,True,False,False,9634.57530452775,53.81644244612568,33.34188915856002,124.79,986.07,2141.02,11.96,27.73,219.13,7.41
R-71912,SL|Lemon herb Cod|Plate|AAD,GV SIMPLY LOCAL,Yellow,False,True,False,959.4547541019294,9.474857085277897,1.4666000811052693,159.07,1633.98,259.38,2.56,43.0,441.74,0.4
R-62207,SL|Lemon tym Chicken Thigh|AAD,GV SIMPLY LOCAL,Red,True,False,False,1563.9234754097406,35.17335921587842,3.518068049886621,122.27,825.33,378.31,8.51,29.58,199.64,0.85
R-58436,SL|Olive dressed Chicken|AAD,GV SIMPLY LOCAL,Red,True,False,False,1324.9518625840026,32.42848976139247,3.636535450595252,105.69,183.51,803.0,19.65,64.05,111.22,2.2
R-71995,SL|Panang Curry|AAD,GV SIMPLY LOCAL,Yellow,False,True,False,459.89492112419254,11.77535248292872,1.1884948347524311,40.63,268.7,296.71,7.6,26.21,173.35,0.77
R-71913,SL|Peri-Peri Chicken Thigh|AAD,GV SIMPLY LOCAL,Yellow,False,True,False,1519.0998316330706,24.2294569090087,3.5270353747294374,87.28,801.16,362.21,5.78,20.81,191.03,0.84
R-72716,SL|Pork Babi Chin|AAD,GV SIMPLY LOCAL,Red,True,False,False,1840.7157728555455,23.862021557284308,3.3788447151745875,303.87,9244.27,485.16,6.29,80.09,2436.55,0.89
R-62297,SL|Pork Chop Herb'd|Plate|AAD,GV SIMPLY LOCAL,Red,True,False,False,2189.048716007242,25.678055746354516,4.439502362702036,326.69,9961.29,383.33,4.5,57.21,1744.33,0.78
R-72336,SL|Pork Chop huli-huli|AAD,GV SIMPLY LOCAL,Red,True,False,False,1543.7787865034088,20.094854916209833,2.7181892307692177,253.61,7724.47,429.54,5.59,70.56,2149.27,0.76
R-62220,SL|pork chop|green peppercorn,GV SIMPLY LOCAL,Red,True,False,False,2042.883030945814,25.339203072818453,3.9490615145763495,323.64,9842.24,370.71,4.6,58.73,1786.03,0.72
R-71914,SL|Pork Chop|Mole|AAD,GV SIMPLY LOCAL,Red,True,False,False,1675.328579047619,22.175924829931976,3.646661564625834,303.46,9153.89,628.25,8.32,113.8,3432.71,1.37
R-72803,SL|Pork Coconut Stew|AAD,GV SIMPLY LOCAL,Red,True,False,False,1793.6181122279029,23.441686617235845,4.021043232900692,315.27,9459.56,645.19,8.43,113.41,3402.72,1.45
R-72791,SL|Pork Feijoada|AAD,GV SIMPLY LOCAL,Red,True,False,False,7175.97243830602,100.9332950972254,16.115414790380314,1196.57,34691.09,1942.6,27.32,323.92,9391.2,4.36
R-72713,SL|Pork poblano |AAD,GV SIMPLY LOCAL,Red,True,False,False,620.9469589364372,9.729499111397065,1.3850711728896534,101.33,2842.14,443.53,6.95,72.38,2030.1,0.99
R-42358,SL|Pork|TikaMasala|AAD,GV SIMPLY LOCAL,Yellow,False,True,False,1127.9393630009722,13.033246856618696,1.9303165426886424,163.99,5359.6,297.3,3.44,43.22,1412.65,0.51
R-72737,SL|Rendang Beef|AAD,SPECIALS,Red,True,False,False,4100.848520592527,32.62375936246042,12.454213109421612,166.04,6062.97,2929.18,23.3,118.6,4330.69,8.9
R-62233,SL|Rosemary Chicken|AAD,GV SIMPLY LOCAL,Yellow,False,True,False,1218.2046531700753,26.170161372253784,2.5866606684981677,95.16,888.16,321.09,6.9,25.08,234.1,0.68
R-62238,SL|Salmon Cajun|100g|AAD,GV SIMPLY LOCAL,Red,True,False,False,776.3910200283889,9.483247445658217,1.325105631083797,209.23,1196.84,739.42,9.03,199.27,1139.85,1.26
R-62072,SL|Salmon ginger|AAD,GV SIMPLY LOCAL,Yellow,False,True,False,1456.0196533412854,14.529238844774657,2.6726796525125502,372.25,5786.66,277.34,2.77,70.9,1102.22,0.51
R-62235,SL|Salmon spicy basil|100g|AAD,GV SIMPLY LOCAL,Yellow,False,True,False,1126.6915857628455,13.193014342155744,1.0561276438053957,249.69,1960.8,309.19,3.62,68.52,538.09,0.29
R-72735,SL|Satay Pork Chop|AAD,GV SIMPLY LOCAL,Red,True,False,False,2114.630059644434,25.24775102426844,3.871676773809508,403.06,15788.1,516.52,6.17,98.45,3856.4,0.95
R-62302,SL|Sauce|RATIO|NEW,GV SIMPLY LOCAL,Yellow,False,True,False,145.1928345350119,0.4331396109921963,0.4801169659000621,8.82,453.16,290.39,0.87,17.64,906.32,0.96
R-49182,SL|Shepherd Pie|AAD,GV SIMPLY LOCAL,Red,True,False,False,2469.376242943903,20.415213672582027,6.769218489834404,106.48,3881.06,504.57,4.17,21.76,793.02,1.38
R-57246,SL|side Vegetable| Ratio,FOOD,Green,False,False,True,281.546418103682,3.1838001806005765,0.0,19.21,699.03,127.4,1.44,8.69,316.3,0.0
R-57243,SL|Side|beans and pesto,FOOD,Green,False,False,True,206.2091890627308,1.0982863578638928,1.0457839293083655,11.71,570.13,103.1,0.55,5.86,285.06,0.52
R-37868,SL|Side|Beans Romano ,GV SIMPLY LOCAL,Green,False,False,True,189.82706816461223,0.9703587184530612,1.1974673515518366,4.4,262.9,105.46,0.54,2.44,146.06,0.67
R-44814,SL|Side|Potato baked,GV SIMPLY LOCAL,Green,False,False,True,84.56092220395158,1.0649990202009014,0.1107598981008937,0.55,16.68,39.7,0.5,0.26,7.83,0.05
R-36874,SL|Side|Potato Rosemary Roast,GV SIMPLY LOCAL,Green,False,False,True,129.39247363987442,1.4465768784301412,0.2270237381350078,1.63,55.19,71.88,0.8,0.91,30.66,0.13
R-47746,SL|Side|Potato Smash Olive Oil,GV SIMPLY LOCAL,Green,False,False,True,109.68524460822856,0.9088942499265308,0.2614512592359183,0.51,14.44,60.94,0.5,0.28,8.02,0.15
R-46330,SL|Side|Quinoa,GV SIMPLY LOCAL,Yellow,False,True,False,326.00350027777773,1.3273086049065448,1.0010523444444444,149.58,2333.81,191.66,0.78,87.94,1372.05,0.59
R-36854,SL|Side|Rice Brown,GV SIMPLY LOCAL,Green,False,False,True,142.75778997069804,0.6941422080585151,0.377311199221938,51.42,276.43,142.76,0.69,51.42,276.43,0.38
R-52652,SL|Side|Roasted Potato,GV SIMPLY LOCAL,Green,False,False,True,129.39247363987442,1.4465768784301412,0.2270237381350078,1.63,55.19,71.88,0.8,0.91,30.66,0.13
R-36853,SL|Side|SorghumRoasted,GV SIMPLY LOCAL,Green,False,False,True,128.06119965156796,0.4523261572921851,0.3938798407167745,50.8,788.99,69.98,0.25,27.76,431.14,0.22
R-62303,SL|SIDEs x1|RATIO,GV SIMPLY LOCAL,Green,False,False,True,137.74747843144274,1.2582114271439109,0.0,9.63,376.37,130.25,1.19,9.11,355.87,0.0
R-44810,SL|SideYam Roasted Sage,GV SIMPLY LOCAL,Green,False,False,True,121.8345835295426,2.107820874993497,0.1723792286400431,3.24,13.2,101.53,1.76,2.7,11.0,0.14
R-72693,SL|Singigang Na Baboy|AAD,GV SIMPLY LOCAL,Yellow,False,True,False,916.034857777491,11.246877244663343,1.3332371651177577,133.43,4238.82,260.59,3.2,37.96,1205.85,0.38
R-71992,SL|Sinigang Pork||AAD,GV SIMPLY LOCAL,Red,True,False,False,622.053448204125,9.10630498408666,1.311028856711967,106.19,3134.47,485.98,7.11,82.96,2448.8,1.02
R-62216,SL|Squash bowl|AAD,GV SIMPLY LOCAL,Green,False,False,True,568.3962858069698,7.195862495373159,0.7570030157381082,61.95,2242.39,96.44,1.22,10.51,380.45,0.13
R-57242,SL|Starches blend|Beans legume,FOOD,Green,False,False,True,198.0181286136715,1.034322538158477,0.0,8.05,416.52,104.22,0.54,4.24,219.22,0.0
R-57240,SL|Starches Blend|Potatoes,FOOD - HOT,Green,False,False,True,114.97313952429433,1.3949735803962424,0.0,1.51,30.94,65.85,0.8,0.86,17.72,0.0
R-57241,SL|Starches blend|Rice & grain,FOOD,Green,False,False,True,213.1167560297039,0.8990455566444611,0.0,90.56,1201.9,147.34,0.62,62.61,830.97,0.0
R-57244,SL|Starches|RATIO|NEW,GV SIMPLY LOCAL,Green,False,False,True,173.61564797533103,1.0983527528157295,0.0,33.04,544.29,103.31,0.65,19.66,323.89,0.0
R-62105,SL|Turkey dinner|140g|AAD,GV SIMPLY LOCAL,Yellow,False,True,False,1375.4196097464026,27.03716952306663,2.420687386408102,126.34,1368.83,230.22,4.53,21.15,229.11,0.41
R-57248,SL|Veg blend|SL,FOOD,Green,False,False,True,312.3950684458275,3.2946931960230943,1.0988177960554422,22.23,814.21,135.82,1.43,9.67,354.0,0.48
R-57247,SL|Veg blend|UBC,FOOD,Green,False,False,True,209.5662339720093,2.9250498112813688,0.4919611141899946,12.14,430.26,104.78,1.46,6.07,215.13,0.25
R-62144,SL|Vegetable lasagne|220g|aad,GV SIMPLY LOCAL,Green,False,False,True,247.77596186774127,3.2115679468974685,0.4082152775307537,22.48,1065.59,91.09,1.18,8.26,391.76,0.15
R-62193,SL|vegetables x2|RATIO|NEW,GV SIMPLY LOCAL,Green,False,False,True,271.7722788111009,2.928958762363679,0.91994538300372,19.66,714.34,113.52,1.22,8.21,298.39,0.38
R-62240,SL|Yam Stuffed Chicken|AAD,GV SIMPLY LOCAL,Red,True,False,False,958.2916865912636,21.573021109839672,2.7174989154639744,68.76,82.63,467.46,10.52,33.54,40.31,1.33
R-73934,GZA|Bowl|Kimchi sauce Tofu|AAD,GV GYAZA,Green,False,False,True,860.8685519047776,2.8891949511975565,1.0032691057194327,240.61,1190.41,219.05,0.74,61.22,302.9,0.26
R-49596,FF|Pasta|Primavera|AAD,GV FRESH FARE DAY,Red,True,False,False,1009.6303636862124,9.60829963372977,2.9911233242970576,239.14,7632.74,301.38,2.87,71.39,2278.43,0.89
R-62001,FLX|Benny|Classic|AAD,GV FLEX GLOBAL BOWL,Yellow,False,True,False,806.7106721717671,9.29694033808807,1.3284900984591157,120.04,3844.95,343.28,3.96,51.08,1636.15,0.57
R-62409,GRL|Benny classic|X1,SPECIALS,Yellow,False,True,False,403.3553360858835,4.648470169044035,0.0,60.02,1922.47,343.28,3.96,51.08,1636.14,0.0
R-71962,GRL|Burger|Planetary|Greek|AAD,GV GRILL DAY,Red,True,False,False,4146.801631956645,33.87879075429207,12.192860750069707,229.08,8697.16,1535.85,12.55,84.84,3221.17,4.52
R-62514,GRL|GrilledCheese|tom&goat|AAD,GV GRILL DAY,Red,True,False,False,781.9281374655286,7.890830311505076,1.1177127935248123,131.77,6280.81,495.75,5.0,83.54,3982.07,0.71
R-65756,GRL|Salad|Gather Greenery|SIDE,GV - SIDES,Green,False,False,True,144.2601446237365,1.0589426287201125,0.4589925210160661,10.71,359.11,93.07,0.68,6.91,231.68,0.3
R-73169,SL|BBQ Chicken Thigh|AAD,GV SIMPLY LOCAL,Yellow,False,True,False,1132.036093001923,21.14278339499701,1.746168261471811,106.93,1308.07,210.63,3.93,19.9,243.39,0.32
R-72778,SL|BBQ Porkchop|AAD,GV SIMPLY LOCAL,Red,True,False,False,2268.2353621285747,27.97250767495492,3.860930167965288,378.65,11023.13,399.73,4.93,66.73,1942.58,0.68
R-72819,SL|Lemon Pepper Chichen|AAD,GV SIMPLY LOCAL,Yellow,False,True,False,1123.4389553578606,21.381940086607976,1.8276514285714287,107.72,1308.28,209.03,3.98,20.04,243.42,0.34
R-70824,DEL|Strawberry Salad|AAD*,GV - DELISH,Yellow,False,True,False,277.7807389708161,1.1355796820335682,0.5529903843939595,63.79,3653.9,161.5,0.66,37.09,2124.36,0.32
R-46347,FF|Pasta|Avocado Spin old,GV FRESH FARE DAY,Yellow,False,True,False,585.5154959948112,5.3283970798995695,1.48399222049099,116.78,4214.34,164.93,1.5,32.9,1187.14,0.42
R-73668,FF|Toast|ChiliCrunCAvocado|AAD,GV FRESH FARE BREAKFAST,Green,False,False,True,152.78755930099953,0.4826769557049256,0.4499847947940499,13.65,840.88,101.6,0.32,9.08,559.19,0.3
R-72436,MED|ChickenShawarma|AAD,GV - DELISH,Yellow,False,True,False,752.0582079152015,14.198825414192523,1.7866275543420715,87.94,1964.85,263.88,4.98,30.86,689.42,0.63
R-72781,SL|Lemon pepper Cod|AAD,GV SIMPLY LOCAL,Yellow,False,True,False,835.8413981667159,7.811609750058128,1.5010445255497138,149.06,1296.25,352.29,3.29,62.83,546.34,0.63
R-45376,SL|Maple Cedar Salmon|AAD,GV SIMPLY LOCAL,Yellow,False,True,False,691.6662841457319,8.534498807713645,0.9651644499408156,192.14,1032.42,461.08,5.69,128.08,688.23,0.64
P-44753,COOKED|Veg|Ginger Garlic Broc,,Green,False,False,True,826.1103577922079,11.60524025974026,3.050552987012987,75.48,3482.91,82.61,1.16,7.55,348.29,0.31
P-55167,HS|Pasta Bar Protien|BV Test,,Red,True,False,False,1054.9005634920636,17.496015873015878,2.399934920634913,159.42,4090.1,879.08,14.58,132.85,3408.42,2.0
P-64422,MED|Chickpea greek salad,,Yellow,False,True,False,39817.85871112377,273.16558117777765,175.33242178810238,2286.4,114956.92,199.09,1.37,11.43,574.78,0.88
P-46824,MIX|Pasta Bar Vegetables,,Green,False,False,True,43.78242,0.47484,0.137886,4.88,176.43,24.32,0.26,2.71,98.02,0.08
P-73341,PREP|Dip|Tzatziki|MED*,PREP,Yellow,False,True,False,12847.82283584416,112.27767323191094,11.734179648237472,1127.12,54903.53,305.9,2.67,26.84,1307.23,0.28
P-72728,PREP|Lemongrass Pork Chop|SL,,Red,True,False,False,1385712.1,18655.025,2962.370999999986,253705.81,7603131.92,1065.93,14.35,195.16,5848.56,2.28
P-32244,SAUCE|Chipotle Mayo|GRL,PREP,Yellow,False,True,False,3107.182,0.612,15.102200000000002,5.77,173.35,310.72,0.06,0.58,17.34,1.51
P-73472,PREP|SALAD|Tomato CucMint|MED,,Green,False,False,True,3146.0482409790197,38.53856097879152,6.918891622121761,366.48,16565.1,52.43,0.64,6.11,276.08,0.12
P-73266,SALAD|QuinoaTabbouleh|MED*,PREP,Green,False,False,True,2888.5438706576892,17.897109433153805,8.409704634822598,453.94,11150.68,103.16,0.64,16.21,398.24,0.3
P-44917,PREP|Dip|FetaDill Yogurt|MED,PREP,Yellow,False,True,False,8244.955607142856,75.97872448979592,7.30110969387755,919.8,46305.37,374.77,3.45,41.81,2104.79,0.33
P-73342,PREP|Dip|MintYogurt|MED,PREP,Yellow,False,True,False,7098.263023809524,59.14079115646259,7.9818480272108845,586.46,28187.57,295.76,2.46,24.44,1174.48,0.33
P-73340,PREP|Dip|SpicyYogurt|MED,PREP,Yellow,False,True,False,6945.682437142857,56.32594248979592,7.83199229387755,540.3,26595.85,277.83,2.25,21.61,1063.83,0.31
P-73248,PREP|Salad|3Bean|MED,,Red,True,False,False,34566.43702181723,143.61436493852574,249.36144011606777,260.25,9365.84,576.11,2.39,4.34,156.1,4.16
I-71938,FRIES 3/8IN*CRINKLE,PRODUCE,Green,False,False,True,0.90038012,11.3398,0.0011793391999999,0.01,0.18,0.04,0.5,0.0,0.01,0.0
